"臓器","分類","カテゴリ","サブカテゴリ","疾患","UID","H28対応項目","修正案(20220318)","コメント(20220318)","重要(20220318)","重複(計算列)","重複のため削除する項目に●(20220408)","重要度分類(スリム化チーム作業用)(20220330)","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"皮膚系","疾患・病態","薬疹・薬物障害","なし","中毒性表皮壊死症 <TEN>","JlvnliA","D-03-04-04-01, D-03-04-04-02","","割愛候補：Stevens-Johnson症候群の重症型と一言触れるだけで十分。病態としての独立性の乏しいし、治療の方向性も同等。生坂","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害","なし","薬剤性過敏症症候群 <DIHS>","JlvnliI","D-03-04-04-01, D-03-04-04-02","","","●","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","自己免疫性水疱症","天疱瘡","JlvnliQ","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","自己免疫性水疱症","水疱性類天疱瘡","JlvnliU","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","膿疱症","掌蹠膿疱症","Jlvnlic","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","膿疱症","膿疱性乾癬","Jlvnlig","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","なし","尋常性乾癬","Jlvnlio","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","なし","扁平苔癬","Jlvnlis","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","なし","Gibert 薔薇色粃糠疹","Jlvnli0","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","なし","脂漏性角化症","Jlvnli4","D-03-04-06-01,D-03-04-06-02,","","削除対象（岡崎／小松）","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","伝染性膿痂疹","JlvnljA","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","せつ・癰","JlvnljE","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","毛嚢炎","JlvnljM","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","ひょう疽","JlvnljQ","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","丹毒","JlvnljY","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","ブドウ球菌性熱傷様皮膚症候群 <SSSS>","Jlvnljg","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","<SSSS>の表記を追加（岡崎／小松）","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","蜂窩織炎","Jlvnljk","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","壊死性筋膜炎","Jlvnljs","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","皮膚真菌症（表在性・深在性）","Jlvnljw","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","分割すべきか?","",""
"皮膚系","疾患・病態","皮膚感染症","なし","皮膚抗酸菌症","Jlvnlj4","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","疥癬","Jlvnlj8","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","単純ヘルペス","JlvnlkE","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","●","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","帯状疱疹","JlvnlkM","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","●","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","尋常性疣贅","JlvnlkQ","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","伝染性軟属腫","JlvnlkY","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","麻疹","Jlvnlkc","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","●","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","風疹","Jlvnlkk","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","●","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","水痘","Jlvnlko","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","●","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","伝染性紅斑","Jlvnlkw","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","皮膚ウィルス感染症","手足口病","Jlvnlk0","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","なし","後天性免疫不全症候群 <AIDS>に伴う皮膚症状（梅毒・難治性ヘルペス・伝染性軟属腫・Kaposi肉腫など）","Jlvnlk8","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","","","","","","","分割すべきか?","",""
"皮膚系","疾患・病態","母斑性皮膚疾患","なし","母斑","JlvnllE","D-03-04-08-01","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","母斑性皮膚疾患","母斑症","神経線維腫症1型","JlvnllI","D-03-04-08-01","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","母斑性皮膚疾患","母斑症","結節性硬化症","JlvnllQ","D-03-04-08-01","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患","毛の疾患","円形脱毛症","JlvnllU","D-03-04-09-01, D-03-04-09-02","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患","毛の疾患","男性型脱毛症","Jlvnllc","D-03-04-09-01, D-03-04-09-02","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患","なし","爪の疾患（匙状爪・嵌入爪）","Jlvnllg","D-03-04-09-01, D-03-04-09-02","","","","","","","","","","","","","","","分割すべきか?","",""
"皮膚系","疾患・病態","付属器疾患","汗腺の疾患","汗疹","Jlvnllo","D-03-04-09-01, D-03-04-09-02","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患","汗腺の疾患","多汗症","Jlvnlls","D-03-04-09-01, D-03-04-09-02","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","付属器疾患","汗腺の疾患","無汗症","Jlvnll0","D-03-04-09-01, D-03-04-09-02","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","尋常性痤瘡","Jlvnll4","","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","酒皶様皮膚炎","JlvnlmA","","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","褥瘡","JlvnlmI","","","","●","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","ケロイド","JlvnlmM","","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","粉瘤","JlvnlmU","","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","尋常性白斑","JlvnlmY","","","","","","","●","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","壊疽性膿皮症","Jlvnlmg","","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","痒疹","Jlvnlmk","","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","その他","なし","色素性乾皮症","Jlvnlms","","","","","","","","","","","","","","","","","",""
"皮膚系","疾患・病態","腫瘍性疾患","なし","※腫瘍の項目を参照","Jlvnlmw","","","","","重複あり","●生坂","","","","","","","","","","","",""
"皮膚系","疾患・病態","なし","なし","凍傷・電撃傷","Jlvnlm4","","","","","","","●","","","","","","","","","分割すべきか?","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","四肢・脊椎外傷","Jlvnlm8","D-04-04-01-01","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節の脱臼","JlvnlnE","D-04-04-01-02","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","肘内障","JlvnlnM","D-04-04-01-02","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","上腕骨外側上顆炎","JmpYnGs","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱・靱帯・半月板損傷","JlvnlnQ","D-04-04-01-02","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","突き指","JmpYnGo","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節拘縮","JlvnlnY","","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","Dupuytren拘縮","Jlvnlnc","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","骨折","Jlvnlnk","D-04-04-01-03","","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","肉離れ","JmpYuec","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","筋損傷・挫滅症候群・コンパートメント症候群","Jlvnlno","D-04-04-01-04","","","","","","●","","","","","","","","","分割すべきか?","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","骨粗鬆症","Jlvnlnw","D-04-04-01-05","","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","くる病","Jlvnln4","D-04-04-01-05","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","代謝性骨疾患","なし","骨軟化症","Jlvnln8","D-04-04-01-05","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","関節炎","JlvnloE","D-04-04-01-06","","","","重複あり","●生坂","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱鞘炎","JlvnloI","D-04-04-01-06","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","滑液包炎","JlvnloQ","D-04-04-01-06","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腱付着部炎","JlvnloU","D-04-04-01-06","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","変形性関節症","Jlvnloc","D-04-04-01-07","","","●","重複あり","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","外反母趾","Jlvnlok","D-04-04-01-07","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","外反膝","Jlvnloo","D-04-04-01-07","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","内反膝","Jlvnlow","D-04-04-01-07","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","反張膝","Jlvnlo0","D-04-04-01-07","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","関節症","なし","神経病性関節症","Jlvnlo8","D-04-04-01-07","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","胸郭出口症候群","JlvnlpA","D-04-04-01-08","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","手根管症候群","JlvnlpI","D-04-04-01-08","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","絞扼性末梢神経障害","なし","肘部管症候群等","JlvnlpQ","D-04-04-01-08","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）","JlvnlpU","D-04-04-01-09","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊髄損傷","Jlvnlpc","D-04-04-01-10","","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎椎間板ヘルニア","Jlvnlpg","D-04-04-01-11","","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊柱管狭窄症","Jlvnlpo","D-04-04-01-12","","","●","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","脊椎分離・すべり症","Jlvnlps","D-04-04-01-13","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","腰背部痛","Jlvnlp0","D-04-04-01-14","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","頸部痛","Jlvnlp8","D-04-04-01-14","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","肩こり","JlvnlqA","D-04-04-01-14","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","運動器慢性疼痛","なし","肩関節周囲炎","JlvnlqI","D-04-04-01-14","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","感染性疾患","なし","化膿性関節炎","JlvnlqM","D-04-04-02-01","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","感染性疾患","なし","骨髄炎","JlvnlqU","D-04-04-02-01","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","椎間板炎・化膿性脊椎炎・脊椎カリエス","JlvnlqY","D-04-04-02-02","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","斜頸","Jlvnlqg","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","側弯症","Jlvnlqk","","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","先天性股関節脱臼","Jlvnlqs","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","内反足","Jlvnlqw","","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","先天性疾患","なし","骨形成不全症","Jlvnlq4","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","特発性大腿骨頭壊死症","JlvnlrA","","","","","","","●","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","Perthes病","JlvnlrE","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","Osgood-Schlatter病","JlvnlrM","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","離断性骨軟骨炎","JlvnlrQ","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","骨壊死・骨端症・軟骨の障害","なし","膝蓋軟骨軟化症","JlvnlrY","","","","","","","","","","","","","","","","","",""
"運動器（筋骨格）系","疾患・病態","なし","なし","腫瘍性疾患　※腫瘍の項目を参照","Jlvnlrc","D-04-04-03-01,　D-04-04-03-02,　D-04-04-03-03","","","","重複あり","●生坂","","","","","","","","","","","",""
"循環器系","疾患・病態","心不全","心不全","左心","Jlvnlrk","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","サブカテゴリをなくし、心不全（左心・右心）とまとめてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","右心","Jlvnlro","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","急性","Jlvnlrw","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","サブカテゴリをなくし、心不全（急性・慢性）とまとめてはどうか（小松）","●","重複あり","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心不全","心不全","慢性","Jlvnlr4","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","","","●","重複あり","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","狭心症","労作性","Jlvnlr8","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","狭心症","冠攣縮性","JlvnlsE","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","虚血性心疾患","急性冠症候群","不安定狭心症","JlvnlsI","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","虚血性心疾患","急性冠症候群","急性心筋梗塞","JlvnlsQ","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","","","●","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","徐脈性不整脈","洞不全症候群","JlvnlsU","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●○生坂","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","徐脈性不整脈","房室ブロック","Jlvnlsc","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","心房細動","Jlvnlsg","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","心房粗動","Jlvnlso","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","上室性頻脈性不整脈","発作性上室頻拍症","Jlvnlsw","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","用語修正（岡崎）","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","心室性頻脈性不整脈","心室頻拍","Jlvnls0","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","心室性頻脈性不整脈","多源性心室頻拍（torsades de pointes)","Jlvnls8","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","なし","心室細動","JlvnltA","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","期外収縮","上室性","JlvnltI","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","サブカテゴリをなくし、期外収縮（上室性・心室性）とまとめてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","不整脈","期外収縮","心室性","JlvnltQ","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","不整脈","なし","WPW症候群","JlvnltU","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","不整脈","なし","Brugada症候群","Jlvnltc","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","僧帽弁疾患","狭窄","Jlvnltg","D-05-04-04-01","","サブカテゴリをなくし、僧帽弁疾患（狭窄・閉鎖不全）としてはどうか（小松）","●","重複あり","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","僧帽弁疾患","閉鎖不全","Jlvnlto","D-05-04-04-01","","","●","重複あり","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","大動脈弁疾患","狭窄","Jlvnlts","D-05-04-04-01","","サブカテゴリをなくし、大動脈弁疾患（狭窄・閉鎖不全）としてはどうか（小松）","●","重複あり","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","大動脈弁疾患","閉鎖不全","Jlvnlt0","D-05-04-04-01","","","●","重複あり","","●","","","","","","","","","","",""
"循環器系","疾患・病態","弁膜症","なし","三尖弁閉鎖不全","Jlvnlt4","D-05-04-04-01","","","","","","●","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","特発性心筋症","肥大型","JlvnluA","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","サブカテゴリをなくし、特発性心筋症（肥大型・拡張型・拘束型）としてはどうか（小松）","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","特発性心筋症","拡張型","JlvnluE","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","●","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","特発性心筋症","拘束型","JlvnluM","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","●○生坂","","","","","","","","","","","","統合すべきか?","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","二次性心筋疾患","JlvnluU","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","急性心筋炎","JlvnluY","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","感染性心内膜炎","Jlvnlug","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","急性心膜炎","Jlvnluk","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","収縮性心膜炎","Jlvnlus","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患","なし","心タンポナーデ","Jlvnluw","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","心房中隔欠損症","Jlvnlu4","D-05-04-06-01","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","心室中隔欠損症","Jlvnlu8","D-05-04-06-01","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","動脈管開存","JlvnlvE","D-05-04-06-01","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患","なし","Fallot 四徴症","JlvnlvM","D-05-04-06-01","","","","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","動脈硬化症","JlvnlvQ","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","急性大動脈解離","JlvnlvY","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","","●","重複あり","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","大動脈瘤（胸部・腹部）","Jlvnlvc","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","閉塞性動脈硬化症","Jlvnlvk","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","","●","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患","なし","Buerger病","Jlvnlvo","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","","","","","","","","","","","","","","","","",""
